ਜੇਵੀਸ ਲੋਕਾਂ ਦੇ ਆਪਣੇ ਅਧਿਕਾਰਾਂ ਬਾਰੇ ਜਾਗਰੂਕਤਾ ਨੂੰ ਵਧਾਉਣਾ ਚਾਹੀਦਾ ਹੈ।,0.0,pa,0.0

"Rawalpindi express is still the fastest bowler in the world, pride of pindi boys/ Pakistan",0.0,ur,0.0

Salute to every SIKH,0.0,pa,0.001

"ਮੇਰੇ ਅਨੁਸਾਰ, ਪੈਰਾਪਿਗਲੋ ਆਪਣੀ ਜ਼ਿੰਦਗੀ ਬਚਾਉਣ ਵਾਲੇ ਨੂੰ ਕਮਜ਼ੌਰ ਹੈ।",1.0,pa,0.65

"Hey, Filipino friends! Who's up for trying some delicious Filipino food tonight?",0.0,tl,0.0

ਤੁਸੀਂ ਪੈਰਾਪਿਗਲੋ ਜ਼ਿੰਦਗੀ ਬਚਾਉਣ ਵਾਲੇ ਨੂੰ ਕਮਜ਼ੌਰ ਅਖਵਾਉਣ ਵਾਲੇ ਹੋ।,1.0,pa,0.25

ਜੇਵਿਸ਼ ਉਮਰ ਨਾਲ ਨਹੀਂ ਬਦਲਦੇ ਅਤੇ ਉਹ ਕਈ ਉਮਰਾਂ ਤੱਕ ਜੀਵਿਤ ਹਨ,0.0,pa,0.25

"ਉਸ ਅਮਰੀਕੀ ਜ਼ਿੰਦਗੀ 'ਚ ਜੋ ਵਾਤ ਆਈ, ਉਸ 'ਤੇ ਮੈਂ ਖ਼ੁਸ਼ ਹਾਂ।",1.0,pa,0.15

"मि्निीँ कमेतैहदे
- पीिमे बीिमे भैहतैह ने
- पीिमे ँकमे बीिमे भैहतैह ने
- पीिमे ँकमे बीिमे भैहतैह ने",1.0,ne,0.75

But Buddha was born in Nepal and Everest is in Nepal. I love my country and I am proud of everything.,0.0,ne,0.0

नेपाली लोग अपने ग्रामीण जीवन में इतने असफल हैं कि वे अपने बच्चों को शहर में रहने के लिए भेजते हैं।,1.0,ne,0.65

Hijabi brides have a different type of Beauty and it's just mA,0.0,ur,0.001

